time, Presion
0, 0.270101786469849
0.25, 0.279788255077042
0.5, 0.289730502506689
0.75, 0.300215786935983
1, 0.309363913634607
1.25, 0.317402122492735
1.5, 0.328956693971702
1.75, 0.338405849391619
2, 0.349325081287629
2.25, 0.359365289629049
2.5, 0.369376832830234
2.75, 0.379516982099022
3, 0.388847133463771
3.25, 0.400838707588165
3.5, 0.40956853963114
3.75, 0.420118094756303
4, 0.430046973829857
4.25, 0.440858413001597
4.5, 0.450311466525805
4.75, 0.462114930082056
5, 0.471832196132254
5.25, 0.482430738087459
5.5, 0.492073918704824
5.75, 0.503060180375718
6, 0.512767534365753
6.25, 0.524587477259055
6.5, 0.534352732640452
6.75, 0.544691112362233
7, 0.555543675873165
7.25, 0.567091554049952
7.5, 0.578359637541368
7.75, 0.587284130949043
8, 0.599423967725232
8.25, 0.611306017013096
8.5, 0.619731765409837
8.75, 0.629150194586325
9, 0.63826560997441
9.25, 0.649582614768991
9.5, 0.661120078119565
9.75, 0.671507052237181
10, 0.682758854427662
10.25, 0.695253307486239
10.5, 0.708268581134221
10.75, 0.712959776867045
11, 0.722834740698802
11.25, 0.736003802017495
11.5, 0.747241498440516
11.75, 0.758103189303663
12, 0.768248011970418
12.25, 0.779700379611035
12.5, 0.792198133867985
12.75, 0.798507320033975
13, 0.810801866683158
13.25, 0.820346085014929
13.5, 0.833398282586463
13.75, 0.840619985428894
14, 0.8546428862867
14.25, 0.863096287507819
14.5, 0.871291133985732
14.75, 0.88619124802202
15, 0.894533935446936
15.25, 0.901994225490844
15.5, 0.915452548747411
15.75, 0.92726476462055
16, 0.934360457977954
16.25, 0.944714493116767
16.5, 0.950446653023622
16.75, 0.96320064116296
17, 0.973307343291032
17.25, 0.980151824350156
17.5, 0.995554475122645
17.75, 1.00242864458286
18, 1.0163061800234
18.25, 1.024488824769
18.5, 1.03523172413124
18.75, 1.04309113473351
19, 1.05376609171916
19.25, 1.06477347920851
19.5, 1.07284288950099
19.75, 1.08691014306868
20, 1.09062351045417
20.25, 1.10866192557738
20.5, 1.10923017725227
20.75, 1.12491186393819
21, 1.1271411974337
21.25, 1.14587891541226
21.5, 1.1482567771106
21.75, 1.16706200576699
22, 1.16764076436602
22.25, 1.17654456372709
22.5, 1.18970901222742
22.75, 1.20827609959297
23, 1.21825566426888
23.25, 1.23198520200383
23.5, 1.24249955760723
23.75, 1.25205750982252
24, 1.27306245737937
24.25, 1.28236898507721
24.5, 1.29638100493446
24.75, 1.30646646309275
25, 1.31847169035301
25.25, 1.33392971760764
25.5, 1.34227804144731
25.75, 1.36722830402136
26, 1.36582781784362
26.25, 1.38849190651276
26.5, 1.39099826916681
26.75, 1.41131134400266
27, 1.42079148881266
27.25, 1.43854486265674
27.5, 1.43734391140163
27.75, 1.45786316493317
28, 1.46487016205427
28.25, 1.49237722505621
28.5, 1.49122064476804
28.75, 1.51912141337494
29, 1.52162052706763
29.25, 1.53303993510824
29.5, 1.54120293214778
29.75, 1.55244383113533
30, 1.57001274957361
30.25, 1.57240721857085
30.5, 1.58881105989503
30.75, 1.59985611221582
31, 1.61710043604266
31.25, 1.62796291962655
31.5, 1.6385984637389
31.75, 1.65104958210248
32, 1.66202950133033
32.25, 1.68360374993677
32.5, 1.6803632668659
32.75, 1.69826060493299
33, 1.71254922503918
33.25, 1.72023646829334
33.5, 1.74040486660318
33.75, 1.7431404059571
34, 1.77050362712928
34.25, 1.77152310434499
34.5, 1.77093963226421
34.75, 1.80436211290212
35, 1.80366579514485
35.25, 1.82765621947594
35.5, 1.83454724979389
35.75, 1.83841536727824
36, 1.86728660867599
36.25, 1.86683309468211
36.5, 1.86688278947133
36.75, 1.90006011262073
37, 1.89781069686272
37.25, 1.90906541192636
37.5, 1.93016917548459
37.75, 1.93302287859646
38, 1.94880031450292
38.25, 1.969117701444
38.5, 1.96879012312632
38.75, 1.98489251592212
39, 2.00184586746832
39.25, 2.00275863417228
39.5, 2.02576074093057
39.75, 2.03886620966725
40, 2.04066481420413
40.25, 2.06102763516132
40.5, 2.0749549427089
40.75, 2.07241572338421
41, 2.07341585981728
41.25, 2.10887373555005
41.5, 2.10881759917322
41.75, 2.11021443537481
42, 2.1386451358811
42.25, 2.14773042172969
42.5, 2.14534483877674
42.75, 2.16875744328935
43, 2.18188031885148
43.25, 2.17852149664748
43.5, 2.18170608424457
43.75, 2.21347030185403
44, 2.2228512669587
44.25, 2.21855811361274
44.5, 2.2435161014034
44.75, 2.25965380639169
45, 2.26145152660672
45.25, 2.27409837863483
45.5, 2.29874781520081
45.75, 2.29546112535771
46, 2.30091348307931
46.25, 2.32950931214455
46.5, 2.3380824745442
46.75, 2.3409861480985
47, 2.33703243501248
47.25, 2.3627885384556
47.5, 2.37830386168395
47.75, 2.37836717174067
48, 2.37712501982345
48.25, 2.41916081837872
48.5, 2.42252789247807
48.75, 2.42430998540261
49, 2.43798116912366
49.25, 2.42068267138362
49.5, 2.45483143701192
49.75, 2.46188261240537
50, 2.46562088786163
50.25, 2.46410357912125
50.5, 2.50207646596351
50.75, 2.51105075664067
51, 2.5078109693715
