T, M, MD, MT
154.4, 7.11967, 7.209408, 7.48735
154.5, 7.122844, 7.208249, 7.485436
154.6, 7.119074, 7.207794, 7.484307
154.7, 7.119895, 7.210048, 7.484962
154.8, 7.120816, 7.207864, 7.482648
154.9, 7.12002, 7.209168, 7.485256
155, 7.119464, 7.209098, 7.484222
155.1, 7.121187, 7.209383, 7.484877
155.2, 7.11968, 7.210198, 7.487735
155.3, 7.119294, 7.208744, 7.486566
155.4, 7.118899, 7.209368, 7.483732
155.5, 7.118027, 7.207919, 7.486066
155.6, 7.120235, 7.207824, 7.48808
155.7, 7.121287, 7.210303, 7.484617
155.8, 7.118548, 7.20559, 7.486191
155.9, 7.120371, 7.202742, 7.486196
156, 7.12013, 7.204946, 7.486006
156.1, 7.117977, 7.203322, 7.484097
156.2, 7.120516, 7.202612, 7.485236
156.3, 7.119219, 7.203342, 7.484267
156.4, 7.121728, 7.205296, 7.484367
156.5, 7.122128, 7.203367, 7.486341
156.6, 7.119019, 7.203102, 7.483577
156.7, 7.119645, 7.205176, 7.482313
156.8, 7.121943, 7.203012, 7.484492
156.9, 7.120846, 7.203817, 7.483887
157, 7.121958, 7.203602, 7.483418
157.1, 7.121587, 7.205071, 7.480095
157.2, 7.120351, 7.204931, 7.481719
157.3, 7.12318, 7.200464, 7.481434
157.4, 7.122629, 7.202427, 7.481988
157.5, 7.121137, 7.203986, 7.480809
157.6, 7.120501, 7.20556, 7.480869
157.7, 7.12018, 7.203047, 7.48001
157.8, 7.121647, 7.203797, 7.478251
157.9, 7.118173, 7.204751, 7.47875
158, 7.120616, 7.202887, 7.481389
158.1, 7.120656, 7.204311, 7.476457
158.2, 7.122869, 7.201478, 7.479395
158.3, 7.119229, 7.200663, 7.481099
158.4, 7.119394, 7.204121, 7.479495
158.5, 7.121387, 7.203312, 7.47938
158.6, 7.120155, 7.204631, 7.480299
158.7, 7.11976, 7.203692, 7.47911
158.8, 7.117402, 7.203757, 7.477376
158.9, 7.118834, 7.203362, 7.479155
159, 7.122093, 7.203322, 7.481469
159.1, 7.119029, 7.204751, 7.47887
159.2, 7.119314, 7.205021, 7.480399
159.3, 7.11636, 7.205965, 7.47995
159.4, 7.115794, 7.203767, 7.482388
159.5, 7.115249, 7.205471, 7.479915
159.6, 7.12018, 7.203537, 7.47861
159.7, 7.113191, 7.197221, 7.479645
159.8, 7.113726, 7.200414, 7.47889
159.9, 7.115939, 7.198929, 7.4796
160, 7.115955, 7.198635, 7.481449
160.1, 7.114588, 7.19793, 7.477631
160.2, 7.113736, 7.196841, 7.48003
160.3, 7.11278, 7.199154, 7.482998
160.4, 7.112385, 7.195996, 7.478006
160.5, 7.117111, 7.195966, 7.478915
160.6, 7.116766, 7.198655, 7.478436
160.7, 7.115694, 7.196531, 7.479095
160.8, 7.114943, 7.200379, 7.479415
160.9, 7.114367, 7.198595, 7.478106
161, 7.114277, 7.200004, 7.480199
161.1, 7.114818, 7.19837, 7.481424
161.2, 7.114813, 7.195417, 7.478311
161.3, 7.113711, 7.19858, 7.479245
161.4, 7.114883, 7.198725, 7.479515
161.5, 7.113776, 7.197136, 7.480294
161.6, 7.114943, 7.197191, 7.479415
161.7, 7.114152, 7.196601, 7.479525
161.8, 7.115178, 7.196441, 7.476901
161.9, 7.112985, 7.19788, 7.477181
162, 7.114502, 7.198295, 7.474203
162.1, 7.117437, 7.19801, 7.475922
162.2, 7.117026, 7.199024, 7.473184
162.3, 7.117101, 7.200249, 7.473184
162.4, 7.112775, 7.199919, 7.474493
162.5, 7.116105, 7.199194, 7.475427
162.6, 7.114207, 7.19837, 7.474658
162.7, 7.115804, 7.19853, 7.471625
162.8, 7.113241, 7.195192, 7.476072
162.9, 7.113386, 7.199174, 7.475462
163, 7.117191, 7.196851, 7.475402
163.1, 7.112435, 7.199279, 7.474528
163.2, 7.115814, 7.199779, 7.473274
163.3, 7.115664, 7.201488, 7.473788
163.4, 7.11664, 7.200044, 7.473274
163.5, 7.11269, 7.1988, 7.473658
163.6, 7.113817, 7.199084, 7.475088
163.7, 7.115404, 7.197795, 7.476257
163.8, 7.11308, 7.199324, 7.474058
163.9, 7.112695, 7.19808, 7.474418
164, 7.109831, 7.197795, 7.474653
164.1, 7.10889, 7.196816, 7.472999
164.2, 7.108865, 7.199464, 7.476147
164.3, 7.111874, 7.201138, 7.474538
164.4, 7.10947, 7.1974, 7.475712
164.5, 7.110727, 7.196431, 7.475902
164.6, 7.110277, 7.193713, 7.473349
164.7, 7.111744, 7.193183, 7.472419
164.8, 7.111463, 7.195312, 7.473908
164.9, 7.109425, 7.193423, 7.473998
165, 7.109966, 7.191129, 7.472244
165.1, 7.110672, 7.192553, 7.473189
165.2, 7.111233, 7.192823, 7.475048
165.3, 7.108609, 7.194057, 7.472209
165.4, 7.108084, 7.191664, 7.475058
165.5, 7.10929, 7.192748, 7.474143
165.6, 7.110617, 7.190445, 7.473598
165.7, 7.111288, 7.191589, 7.477246
165.8, 7.112029, 7.194392, 7.473728
165.9, 7.109125, 7.194657, 7.474178
166, 7.109776, 7.194462, 7.467207
166.1, 7.105154, 7.193143, 7.471915
166.2, 7.106446, 7.192928, 7.469666
166.3, 7.110963, 7.194697, 7.468537
166.4, 7.110527, 7.195292, 7.468621
166.5, 7.108955, 7.191859, 7.469146
166.6, 7.106807, 7.193788, 7.468372
166.7, 7.107327, 7.192224, 7.47068
166.8, 7.108164, 7.192993, 7.468222
166.9, 7.111869, 7.196016, 7.469776
167, 7.109991, 7.193023, 7.467357
167.1, 7.111689, 7.193763, 7.468142
167.2, 7.110953, 7.192423, 7.468177
167.3, 7.110592, 7.191759, 7.470785
167.4, 7.107963, 7.195821, 7.468831
167.5, 7.107853, 7.195611, 7.468791
167.6, 7.106917, 7.193628, 7.468856
167.7, 7.110827, 7.193498, 7.468631
167.8, 7.109871, 7.192154, 7.468177
167.9, 7.10921, 7.193353, 7.469196
168, 7.112685, 7.193178, 7.468736
168.1, 7.108169, 7.194032, 7.469571
168.2, 7.107583, 7.191674, 7.468332
168.3, 7.106967, 7.19005, 7.47128
168.4, 7.108915, 7.187391, 7.468796
168.5, 7.10935, 7.188051, 7.469796
168.6, 7.109866, 7.188191, 7.468317
168.7, 7.109255, 7.188381, 7.469196
168.8, 7.10929, 7.188366, 7.468002
168.9, 7.110312, 7.186082, 7.469826
169, 7.105149, 7.187456, 7.470231
169.1, 7.103893, 7.187107, 7.469096
169.2, 7.1053, 7.187751, 7.47066
169.3, 7.102581, 7.188686, 7.469091
169.4, 7.102891, 7.187486, 7.468202
169.5, 7.102541, 7.187057, 7.47053
169.6, 7.104393, 7.187891, 7.467902
169.7, 7.103833, 7.187616, 7.468771
169.8, 7.104899, 7.188341, 7.469816
169.9, 7.104739, 7.187197, 7.468577
170, 7.10539, 7.188606, 7.466833
170.1, 7.10545, 7.188526, 7.468347
170.2, 7.104639, 7.188491, 7.468307
170.3, 7.102546, 7.187986, 7.468002
170.4, 7.106226, 7.186842, 7.466953
170.5, 7.104694, 7.187971, 7.463664
170.6, 7.103702, 7.18973, 7.464529
170.7, 7.102686, 7.185063, 7.463575
170.8, 7.103953, 7.187167, 7.46204
170.9, 7.104378, 7.188861, 7.462555
171, 7.102521, 7.185323, 7.464049
171.1, 7.102501, 7.18919, 7.463495
171.2, 7.106637, 7.188026, 7.46355
171.3, 7.103602, 7.188671, 7.464209
171.4, 7.104348, 7.186567, 7.46294
171.5, 7.10575, 7.187651, 7.465019
171.6, 7.104909, 7.186617, 7.463325
171.7, 7.106216, 7.188601, 7.464984
171.8, 7.104238, 7.187596, 7.46349
171.9, 7.104323, 7.186472, 7.464029
172, 7.107012, 7.186417, 7.465294
172.1, 7.104694, 7.187991, 7.463065
172.2, 7.10581, 7.184768, 7.464199
172.3, 7.102546, 7.186907, 7.465209
172.4, 7.105245, 7.181995, 7.464459
172.5, 7.104924, 7.182055, 7.464479
172.6, 7.106977, 7.1823, 7.46227
172.7, 7.107623, 7.179996, 7.464604
172.8, 7.104709, 7.181715, 7.462055
172.9, 7.102981, 7.182959, 7.466808
173, 7.107643, 7.183694, 7.464809
173.1, 7.104719, 7.182649, 7.463305
173.2, 7.107398, 7.183354, 7.463939
173.3, 7.103097, 7.18164, 7.461081
173.4, 7.10199, 7.18159, 7.463055
173.5, 7.105575, 7.183389, 7.46297
173.6, 7.107187, 7.183499, 7.465473
173.7, 7.101685, 7.182015, 7.46245
173.8, 7.104428, 7.183489, 7.464929
173.9, 7.105951, 7.184068, 7.464779
174, 7.10909, 7.182354, 7.460337
174.1, 7.104479, 7.183709, 7.467002
174.2, 7.106712, 7.183114, 7.46301
174.3, 7.103422, 7.181165, 7.464254
174.4, 7.10576, 7.181775, 7.461136
174.5, 7.105815, 7.181535, 7.463355
174.6, 7.103102, 7.18148, 7.462585
174.7, 7.102035, 7.18142, 7.461116
174.8, 7.105375, 7.18228, 7.462945
174.9, 7.106591, 7.18107, 7.464479
175, 7.104784, 7.180351, 7.464274
175.1, 7.106461, 7.183969, 7.46222
175.2, 7.103442, 7.181195, 7.46363
175.3, 7.10222, 7.18187, 7.461841
175.4, 7.10534, 7.180765, 7.463615
175.5, 7.101264, 7.183074, 7.461631
175.6, 7.10568, 7.181065, 7.464064
175.7, 7.105049, 7.18161, 7.460811
175.8, 7.101549, 7.18227, 7.460486
175.9, 7.105144, 7.18076, 7.461471
176, 7.103232, 7.182769, 7.458258
176.1, 7.098986, 7.182689, 7.460072
176.2, 7.099201, 7.183474, 7.460312
176.3, 7.100458, 7.18109, 7.460157
176.4, 7.095907, 7.183404, 7.461406
176.5, 7.097814, 7.182639, 7.458178
176.6, 7.099381, 7.182409, 7.458827
176.7, 7.099191, 7.182005, 7.461071
176.8, 7.095536, 7.180641, 7.459257
176.9, 7.097384, 7.182999, 7.459552
177, 7.097719, 7.181045, 7.460022
177.1, 7.097474, 7.18193, 7.457613
177.2, 7.100703, 7.184818, 7.458937
177.3, 7.103697, 7.184913, 7.460217
177.4, 7.096753, 7.182275, 7.460361
177.5, 7.096502, 7.178802, 7.460247
177.6, 7.09849, 7.181055, 7.459842
177.7, 7.100373, 7.178492, 7.460726
177.8, 7.100708, 7.179786, 7.457088
177.9, 7.09801, 7.178042, 7.459382
178, 7.10218, 7.175524, 7.458717
178.1, 7.099306, 7.177902, 7.460351
178.2, 7.099892, 7.179391, 7.459332
178.3, 7.09838, 7.177093, 7.457748
178.4, 7.097779, 7.178192, 7.459107
178.5, 7.098535, 7.178932, 7.459212
178.6, 7.098736, 7.178667, 7.461071
178.7, 7.098455, 7.179256, 7.460047
178.8, 7.096993, 7.177612, 7.458613
178.9, 7.100122, 7.178727, 7.459382
179, 7.097879, 7.178677, 7.458118
179.1, 7.099582, 7.176468, 7.459017
179.2, 7.096983, 7.175793, 7.459887
179.3, 7.099116, 7.174824, 7.460317
179.4, 7.100498, 7.175549, 7.456579
179.5, 7.100483, 7.177627, 7.459117
179.6, 7.096492, 7.176183, 7.458947
179.7, 7.098936, 7.178062, 7.459492
179.8, 7.098065, 7.176828, 7.460591
179.9, 7.097314, 7.177622, 7.461391
180, 7.098115, 7.178282, 7.458633
180.1, 7.09842, 7.177992, 7.462615
180.2, 7.101825, 7.175574, 7.460356
180.3, 7.099071, 7.17402, 7.458288
180.4, 7.101299, 7.174644, 7.460037
180.5, 7.100838, 7.178802, 7.456484
180.6, 7.099937, 7.177867, 7.459582
180.7, 7.099667, 7.175963, 7.459487
180.8, 7.100163, 7.178577, 7.460436
180.9, 7.096748, 7.177677, 7.456889
181, 7.09871, 7.177602, 7.458478
181.1, 7.09852, 7.177013, 7.456489
181.2, 7.097339, 7.179866, 7.45522
181.3, 7.099967, 7.176908, 7.455609
181.4, 7.099847, 7.174724, 7.45395
181.5, 7.096798, 7.178732, 7.454075
181.6, 7.097674, 7.176683, 7.455789
181.7, 7.100052, 7.175689, 7.452002
181.8, 7.099376, 7.173105, 7.453785
181.9, 7.09852, 7.173025, 7.454515
182, 7.097809, 7.170871, 7.455499
182.1, 7.099316, 7.172036, 7.454285
182.2, 7.100082, 7.173315, 7.454495
182.3, 7.09806, 7.17394, 7.45388
182.4, 7.09815, 7.170017, 7.454705
182.5, 7.099552, 7.171926, 7.45419
182.6, 7.101069, 7.17359, 7.455544
182.7, 7.10177, 7.17387, 7.455409
182.8, 7.096578, 7.170467, 7.455389
182.9, 7.098445, 7.170247, 7.455509
183, 7.09862, 7.172575, 7.455409
183.1, 7.099507, 7.170996, 7.454275
183.2, 7.101094, 7.1726, 7.453516
183.3, 7.095907, 7.171856, 7.455754
183.4, 7.09833, 7.171526, 7.456289
183.5, 7.096653, 7.171246, 7.455524
183.6, 7.099507, 7.17313, 7.456339
183.7, 7.092432, 7.171121, 7.455879
183.8, 7.094064, 7.17286, 7.453171
183.9, 7.092362, 7.171296, 7.455974
184, 7.093248, 7.170217, 7.453501
184.1, 7.095841, 7.17285, 7.45537
184.2, 7.090489, 7.171921, 7.455474
184.3, 7.094655, 7.173845, 7.453141
184.4, 7.09462, 7.172001, 7.457063
184.5, 7.094445, 7.17282, 7.452621
184.6, 7.094555, 7.172201, 7.452336
184.7, 7.092882, 7.170402, 7.45488
184.8, 7.094354, 7.172545, 7.455549
184.9, 7.094329, 7.1728, 7.454805
185, 7.094149, 7.171261, 7.454125
185.1, 7.09449, 7.172141, 7.451042
185.2, 7.096077, 7.172975, 7.45463
185.3, 7.09139, 7.170032, 7.456934
185.4, 7.092907, 7.171681, 7.455694
185.5, 7.095231, 7.171931, 7.454905
185.6, 7.095136, 7.17338, 7.45373
185.7, 7.096027, 7.171671, 7.45525
185.8, 7.096858, 7.17293, 7.453206
185.9, 7.092807, 7.169302, 7.446925
186, 7.095391, 7.1729, 7.451527
186.1, 7.094089, 7.17245, 7.450048
186.2, 7.092747, 7.172246, 7.448349
186.3, 7.092412, 7.171911, 7.448958
186.4, 7.095611, 7.169457, 7.448684
186.5, 7.096477, 7.172136, 7.447174
186.6, 7.095306, 7.170841, 7.448793
186.7, 7.095451, 7.17248, 7.449928
186.8, 7.095371, 7.171201, 7.448973
186.9, 7.09511, 7.172361, 7.447564
187, 7.091055, 7.168398, 7.448029
187.1, 7.096748, 7.17302, 7.450822
187.2, 7.095381, 7.166204, 7.448179
187.3, 7.092752, 7.16419, 7.449263
187.4, 7.093558, 7.16549, 7.448978
187.5, 7.09465, 7.167354, 7.44602
187.6, 7.09494, 7.167823, 7.448374
187.7, 7.096377, 7.167758, 7.449513
187.8, 7.093258, 7.166524, 7.448953
187.9, 7.095421, 7.167079, 7.446925
188, 7.094239, 7.167154, 7.449338
188.1, 7.093653, 7.166979, 7.448734
188.2, 7.094425, 7.167558, 7.446345
188.3, 7.095922, 7.167528, 7.450702
188.4, 7.096537, 7.165979, 7.447724
188.5, 7.09448, 7.166354, 7.448729
188.6, 7.091871, 7.167818, 7.451932
188.7, 7.09471, 7.166849, 7.449188
188.8, 7.092837, 7.167928, 7.450547
188.9, 7.095105, 7.168073, 7.447899
189, 7.095471, 7.169532, 7.449908
189.1, 7.096427, 7.167149, 7.448968
189.2, 7.094965, 7.169397, 7.447514
189.3, 7.093088, 7.167229, 7.448644
189.4, 7.088246, 7.166739, 7.449013
189.5, 7.092196, 7.16459, 7.448419
189.6, 7.088326, 7.168103, 7.450587
189.7, 7.090124, 7.167279, 7.448444
189.8, 7.089302, 7.166859, 7.449348
189.9, 7.089978, 7.166469, 7.448094
190, 7.095811, 7.168158, 7.449643
190.1, 7.091175, 7.168498, 7.449303
190.2, 7.092777, 7.167973, 7.442982
190.3, 7.093253, 7.167763, 7.443527
190.4, 7.097969, 7.166294, 7.443732
190.5, 7.093799, 7.168238, 7.442787
190.6, 7.094154, 7.168703, 7.443826
190.7, 7.093939, 7.166619, 7.444576
190.8, 7.094189, 7.163601, 7.443402
190.9, 7.093804, 7.170097, 7.447514
191, 7.092472, 7.167493, 7.448404
191.1, 7.090124, 7.164905, 7.448719
191.2, 7.094615, 7.167623, 7.444511
191.3, 7.089873, 7.169182, 7.443407
191.4, 7.091035, 7.169132, 7.445376
191.5, 7.093188, 7.165969, 7.444746
191.6, 7.089828, 7.166849, 7.445266
191.7, 7.089247, 7.165869, 7.443262
191.8, 7.085317, 7.168563, 7.442882
191.9, 7.08786, 7.168303, 7.445765
192, 7.09127, 7.164745, 7.443347
192.1, 7.089578, 7.167089, 7.443487
192.2, 7.088391, 7.168463, 7.444901
192.3, 7.088061, 7.168088, 7.443102
192.4, 7.092081, 7.165879, 7.442038
192.5, 7.088141, 7.167688, 7.443442
192.6, 7.09132, 7.165959, 7.444211
192.7, 7.089618, 7.168163, 7.442342
192.8, 7.086874, 7.164061, 7.444251
192.9, 7.089888, 7.16523, 7.443377
193, 7.088641, 7.166149, 7.442812
193.1, 7.090514, 7.165035, 7.441343
193.2, 7.088987, 7.164875, 7.445051
193.3, 7.090254, 7.160593, 7.444036
193.4, 7.085182, 7.161337, 7.44572
193.5, 7.090068, 7.160788, 7.445186
193.6, 7.087675, 7.161442, 7.444126
193.7, 7.089282, 7.162292, 7.443287
193.8, 7.090604, 7.163546, 7.443767
193.9, 7.086904, 7.162077, 7.442157
194, 7.087996, 7.159688, 7.442088
194.1, 7.087069, 7.162352, 7.445306
194.2, 7.088091, 7.159793, 7.443522
194.3, 7.089172, 7.162197, 7.443227
194.4, 7.088812, 7.162526, 7.446885
194.5, 7.088997, 7.160967, 7.442058
194.6, 7.089162, 7.163381, 7.442397
194.7, 7.091831, 7.160028, 7.444321
194.8, 7.08778, 7.161732, 7.443757
194.9, 7.088021, 7.161347, 7.445935
195, 7.087455, 7.162432, 7.441698
195.1, 7.089102, 7.161002, 7.444291
195.2, 7.089002, 7.161422, 7.443542
195.3, 7.086203, 7.160842, 7.442747
195.4, 7.088952, 7.160538, 7.444846
195.5, 7.087775, 7.161772, 7.444041
195.6, 7.087545, 7.162691, 7.443672
195.7, 7.091776, 7.166129, 7.445126
195.8, 7.089528, 7.159903, 7.443002
195.9, 7.089893, 7.161552, 7.442612
196, 7.089793, 7.161732, 7.444646
196.1, 7.088491, 7.161312, 7.444001
196.2, 7.09093, 7.161242, 7.445126
196.3, 7.087415, 7.162262, 7.445066
196.4, 7.088677, 7.159523, 7.442402
196.5, 7.087905, 7.159643, 7.443607
196.6, 7.088802, 7.161912, 7.443272
196.7, 7.088677, 7.160957, 7.440898
196.8, 7.086118, 7.163261, 7.443017
196.9, 7.089678, 7.161517, 7.444626
197, 7.088191, 7.161152, 7.444951
197.1, 7.090159, 7.162676, 7.441353
197.2, 7.090569, 7.162841, 7.43874
197.3, 7.086769, 7.160308, 7.444951
197.4, 7.088972, 7.163216, 7.443437
197.5, 7.088792, 7.162631, 7.439359
197.6, 7.08773, 7.161507, 7.438949
197.7, 7.089668, 7.159508, 7.437455
197.8, 7.089578, 7.161447, 7.439264
197.9, 7.091576, 7.158674, 7.438145
198, 7.090609, 7.158454, 7.439314
198.1, 7.088221, 7.159948, 7.439759
198.2, 7.090534, 7.158554, 7.439944
198.3, 7.088777, 7.155556, 7.438105
198.4, 7.087875, 7.154591, 7.43801
198.5, 7.088291, 7.15678, 7.440034
198.6, 7.089598, 7.157105, 7.439954
198.7, 7.088266, 7.155196, 7.437215
198.8, 7.088121, 7.157045, 7.439254
198.9, 7.090469, 7.158209, 7.439534
199, 7.089162, 7.154117, 7.43804
199.1, 7.088016, 7.154631, 7.439154
199.2, 7.088266, 7.157305, 7.439929
199.3, 7.089408, 7.154107, 7.437915
199.4, 7.088291, 7.155811, 7.438545
199.5, 7.090284, 7.1573, 7.437136
199.6, 7.086248, 7.157075, 7.437575
199.7, 7.085677, 7.15616, 7.439309
199.8, 7.087164, 7.15674, 7.43852
199.9, 7.082558, 7.155711, 7.436056
200, 7.082182, 7.157035, 7.43836
200.1, 7.080911, 7.15613, 7.436491
200.2, 7.085372, 7.158349, 7.43812
200.3, 7.084025, 7.157505, 7.438989
200.4, 7.083309, 7.156925, 7.437365
200.5, 7.08431, 7.157335, 7.438245
200.6, 7.082077, 7.155236, 7.438665
200.7, 7.084676, 7.158019, 7.435072
200.8, 7.082192, 7.156175, 7.437805
200.9, 7.086594, 7.15674, 7.43771
201, 7.085777, 7.15666, 7.437036
201.1, 7.080866, 7.15612, 7.439404
201.2, 7.082463, 7.154221, 7.436466
201.3, 7.082979, 7.154776, 7.438105
201.4, 7.082979, 7.15605, 7.43878
201.5, 7.085372, 7.156455, 7.4375
201.6, 7.08425, 7.154386, 7.438255
201.7, 7.082503, 7.155386, 7.437665
201.8, 7.083349, 7.155186, 7.436816
201.9, 7.086238, 7.155226, 7.439709
202, 7.084095, 7.157554, 7.440114
202.1, 7.083589, 7.154901, 7.435272
202.2, 7.085622, 7.15735, 7.439664
202.3, 7.083825, 7.155955, 7.437655
202.4, 7.083524, 7.158244, 7.437805
202.5, 7.083429, 7.153607, 7.438055
202.6, 7.081807, 7.154471, 7.43782
202.7, 7.082608, 7.155746, 7.439789
202.8, 7.084921, 7.155051, 7.439334
202.9, 7.082918, 7.154691, 7.438205
203, 7.089092, 7.155381, 7.436926
203.1, 7.083384, 7.149489, 7.433503
203.2, 7.088296, 7.152298, 7.430649
203.3, 7.085066, 7.149809, 7.431624
203.4, 7.085327, 7.150279, 7.432403
203.5, 7.082778, 7.148275, 7.434602
203.6, 7.086804, 7.151063, 7.434022
203.7, 7.082603, 7.151738, 7.432383
203.8, 7.08366, 7.152747, 7.433218
203.9, 7.083259, 7.151388, 7.432353
204, 7.083695, 7.152732, 7.431789
204.1, 7.083925, 7.151193, 7.432703
204.2, 7.082167, 7.151693, 7.431749
204.3, 7.085467, 7.14852, 7.432888
204.4, 7.082608, 7.150304, 7.434727
204.5, 7.082863, 7.152258, 7.433618
204.6, 7.085938, 7.151783, 7.432778
204.7, 7.083424, 7.149999, 7.42971
204.8, 7.085076, 7.152737, 7.434452
204.9, 7.084426, 7.151583, 7.432169
205, 7.085152, 7.152188, 7.432878
205.1, 7.084681, 7.152932, 7.432159
205.2, 7.082137, 7.152632, 7.434112
205.3, 7.082433, 7.152118, 7.433448
205.4, 7.084075, 7.151893, 7.433578
205.5, 7.084045, 7.149165, 7.431989
205.6, 7.083239, 7.150139, 7.432533
205.7, 7.081632, 7.148765, 7.432968
205.8, 7.084305, 7.152178, 7.432268
205.9, 7.084991, 7.151378, 7.430864
206, 7.082107, 7.150284, 7.434617
206.1, 7.085066, 7.151223, 7.433483
206.2, 7.082533, 7.152707, 7.433368
206.3, 7.082793, 7.152408, 7.433538
206.4, 7.081021, 7.149459, 7.432014
206.5, 7.085302, 7.149789, 7.432054
206.6, 7.082368, 7.151738, 7.433128
206.7, 7.0838, 7.148465, 7.431584
206.8, 7.076845, 7.152103, 7.433128
206.9, 7.081532, 7.151573, 7.434527
207, 7.082783, 7.151293, 7.433723
207.1, 7.081341, 7.151073, 7.434682
207.2, 7.075819, 7.151548, 7.433763
207.3, 7.077942, 7.151178, 7.433872
207.4, 7.075663, 7.149739, 7.431534
207.5, 7.078472, 7.151548, 7.432643
207.6, 7.07707, 7.14856, 7.434682
207.7, 7.082913, 7.151068, 7.434732
207.8, 7.079599, 7.151093, 7.433203
207.9, 7.077561, 7.151938, 7.433088
208, 7.079163, 7.149589, 7.431659
208.1, 7.08046, 7.152882, 7.432683
208.2, 7.080811, 7.152388, 7.43017
208.3, 7.078167, 7.150524, 7.432238
208.4, 7.08046, 7.152882, 7.432848
208.5, 7.078968, 7.149674, 7.434582
208.6, 7.079654, 7.151858, 7.430914
208.7, 7.078748, 7.150759, 7.427062
208.8, 7.077381, 7.154201, 7.425817
208.9, 7.080911, 7.150459, 7.427601
209, 7.077907, 7.153482, 7.426717
209.1, 7.080685, 7.151523, 7.428606
209.2, 7.079328, 7.149259, 7.428011
209.3, 7.078557, 7.151168, 7.427371
209.4, 7.076219, 7.146516, 7.428206
209.5, 7.077441, 7.145857, 7.427271
209.6, 7.079193, 7.147196, 7.425977
209.7, 7.078908, 7.145792, 7.428316
209.8, 7.077326, 7.146191, 7.426322
209.9, 7.078848, 7.143723, 7.427416
210, 7.078382, 7.145971, 7.425682
210.1, 7.080981, 7.146586, 7.427606
210.2, 7.079354, 7.145512, 7.426697
210.3, 7.078808, 7.146661, 7.42973
210.4, 7.076935, 7.144842, 7.427671
210.5, 7.079243, 7.146946, 7.427406
210.6, 7.080235, 7.147381, 7.426257
210.7, 7.077551, 7.145976, 7.428876
210.8, 7.078322, 7.144642, 7.42917
210.9, 7.078818, 7.144992, 7.428341
211, 7.078387, 7.143403, 7.427212
211.1, 7.077521, 7.146531, 7.428101
211.2, 7.080951, 7.144872, 7.427052
211.3, 7.076384, 7.145762, 7.427711
211.4, 7.079213, 7.145462, 7.42966
211.5, 7.079389, 7.146021, 7.427426
211.6, 7.078442, 7.146531, 7.426972
211.7, 7.078332, 7.145042, 7.42932
211.8, 7.078042, 7.146036, 7.426632
211.9, 7.077085, 7.14822, 7.426777
212, 7.080004, 7.145467, 7.428331
212.1, 7.077281, 7.146206, 7.427976
212.2, 7.076905, 7.146286, 7.428576
212.3, 7.078557, 7.146321, 7.4291
212.4, 7.077781, 7.147301, 7.427646
212.5, 7.077761, 7.145137, 7.42931
212.6, 7.0804, 7.149309, 7.426227
212.7, 7.079113, 7.144927, 7.427891
212.8, 7.079379, 7.144837, 7.426532
212.9, 7.078337, 7.146121, 7.42998
213, 7.077366, 7.146981, 7.429055
213.1, 7.076625, 7.147461, 7.427946
213.2, 7.077366, 7.145467, 7.426877
213.3, 7.078978, 7.145877, 7.429245
213.4, 7.076299, 7.144462, 7.426842
213.5, 7.080195, 7.144302, 7.427366
213.6, 7.079429, 7.144332, 7.428786
213.7, 7.077551, 7.1488, 7.427441
213.8, 7.075363, 7.146551, 7.427766
213.9, 7.079093, 7.143643, 7.426867
214, 7.079534, 7.146876, 7.430769
214.1, 7.077836, 7.146311, 7.428281
214.2, 7.0735, 7.146526, 7.428356
214.3, 7.077952, 7.146986, 7.426362
214.4, 7.072214, 7.145777, 7.42922
214.5, 7.070827, 7.148165, 7.43008
214.6, 7.073265, 7.144317, 7.427241
214.7, 7.070752, 7.144442, 7.426837
214.8, 7.075303, 7.144937, 7.428126
214.9, 7.072174, 7.143728, 7.426802
215, 7.075053, 7.138711, 7.426882
215.1, 7.071227, 7.142519, 7.427182
215.2, 7.071367, 7.137981, 7.4289
215.3, 7.071177, 7.143258, 7.427686
215.4, 7.071508, 7.140365, 7.428471
215.5, 7.071973, 7.141469, 7.426532
215.6, 7.074777, 7.141599, 7.424078
215.7, 7.073355, 7.13999, 7.420396
215.8, 7.071332, 7.140115, 7.423049
215.9, 7.07312, 7.13991, 7.421125
216, 7.075268, 7.142519, 7.419246
216.1, 7.074477, 7.141729, 7.420101
216.2, 7.074377, 7.139236, 7.42066
216.3, 7.075538, 7.138691, 7.424328
216.4, 7.073856, 7.141144, 7.425602
216.5, 7.071768, 7.140725, 7.421645
216.6, 7.075178, 7.14075, 7.422255
216.7, 7.070371, 7.138536, 7.4215
216.8, 7.072494, 7.139895, 7.421265
216.9, 7.075403, 7.141219, 7.423139
217, 7.072113, 7.14001, 7.422614
217.1, 7.072324, 7.140685, 7.421455
217.2, 7.072018, 7.141639, 7.422674
217.3, 7.073125, 7.141224, 7.424048
217.4, 7.073916, 7.142114, 7.422749
217.5, 7.075623, 7.142069, 7.418802
217.6, 7.073405, 7.143738, 7.423629
217.7, 7.072199, 7.14046, 7.420106
217.8, 7.076615, 7.140235, 7.422904
217.9, 7.0731, 7.1404, 7.419826
218, 7.077356, 7.14015, 7.421305
218.1, 7.074081, 7.139585, 7.423933
218.2, 7.072053, 7.139785, 7.422779
218.3, 7.074306, 7.139745, 7.422869
218.4, 7.074196, 7.138861, 7.423669
