T, PyD, PyDD, PyDT
14.6, 7.238291, 7.18169, 7.353311
14.7, 7.239605, 7.182464, 7.356804
14.8, 7.241199, 7.181545, 7.353591
14.9, 7.245142, 7.182789, 7.35463
15, 7.24763, 7.184338, 7.356309
15.1, 7.247665, 7.185343, 7.359652
15.2, 7.244717, 7.185493, 7.360212
15.3, 7.251318, 7.189195, 7.362296
15.4, 7.249049, 7.189565, 7.360512
15.5, 7.253112, 7.187856, 7.361091
15.6, 7.258239, 7.187147, 7.361891
15.7, 7.256675, 7.192993, 7.359383
15.8, 7.25594, 7.193628, 7.36326
15.9, 7.258483, 7.193733, 7.367892
16, 7.260652, 7.193663, 7.364934
16.1, 7.260212, 7.195022, 7.364509
16.2, 7.263086, 7.193198, 7.365464
16.3, 7.265624, 7.200863, 7.366133
16.4, 7.266204, 7.199209, 7.366493
16.5, 7.266719, 7.19725, 7.366043
16.6, 7.268732, 7.199059, 7.363955
16.7, 7.270376, 7.19861, 7.365889
16.8, 7.271486, 7.199639, 7.371395
16.9, 7.273484, 7.206295, 7.369466
17, 7.275643, 7.204901, 7.369921
17.1, 7.277577, 7.204086, 7.370946
17.2, 7.276268, 7.204611, 7.371865
17.3, 7.281764, 7.206345, 7.369486
17.4, 7.283283, 7.211562, 7.37204
17.5, 7.284498, 7.210942, 7.375233
17.6, 7.282304, 7.205156, 7.375623
17.7, 7.284608, 7.207904, 7.375393
17.8, 7.28139, 7.212976, 7.374513
17.9, 7.285407, 7.215025, 7.376897
18, 7.288515, 7.216014, 7.378241
18.1, 7.288925, 7.213286, 7.376032
18.2, 7.290424, 7.21515, 7.375718
18.3, 7.290539, 7.219562, 7.38042
18.4, 7.290959, 7.216979, 7.379241
18.5, 7.292093, 7.221286, 7.379216
18.6, 7.292948, 7.219387, 7.38
18.7, 7.292493, 7.220436, 7.38009
18.8, 7.290929, 7.218742, 7.381579
18.9, 7.294092, 7.223455, 7.381129
19, 7.297115, 7.22329, 7.38055
19.1, 7.298349, 7.224159, 7.380735
19.2, 7.298629, 7.225324, 7.383563
19.3, 7.297475, 7.225983, 7.384542
19.4, 7.298539, 7.224309, 7.386161
19.5, 7.299918, 7.228407, 7.385397
19.6, 7.297445, 7.23057, 7.384832
19.7, 7.303052, 7.232444, 7.386596
19.8, 7.301527, 7.228986, 7.385247
19.9, 7.304231, 7.232719, 7.389939
20, 7.304446, 7.235412, 7.389929
20.1, 7.305945, 7.236787, 7.392043
20.2, 7.307119, 7.234653, 7.391143
20.3, 7.310112, 7.234173, 7.394326
20.4, 7.308728, 7.234148, 7.391408
20.5, 7.308958, 7.236922, 7.393687
20.6, 7.309348, 7.240759, 7.393382
20.7, 7.307449, 7.239455, 7.391223
20.8, 7.311956, 7.23911, 7.395631
20.9, 7.31347, 7.240609, 7.398164
21, 7.315539, 7.244127, 7.395796
21.1, 7.31457, 7.24777, 7.39716
21.2, 7.312081, 7.245466, 7.395281
21.3, 7.312221, 7.246586, 7.396335
